instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
245,0.1,0.031185,0.024597,0.145177,0.26501,0.281243,0.273842,0.609969
246,0.31,0.291727,0.024426,0.456666,0.269233,1.30697,0.272046,5.08455
247,0.44,0.448173,0.024159,0.533955,0.312037,0.521088,0.275544,1.75097
248,0.04,0.10334,0.024365,0.662274,0.326003,0.387883,0.274614,1.34691
249,0.02,0.166728,0.024235,0.247309,0.269575,0.363595,0.274185,0.918747
250,0.0,0.024941,0.0242,1.97378,0.679643,0.94687,0.270849,1.73991
251,0.12,0.102331,0.024567,0.52568,0.270044,0.403601,0.27759,1.2865
252,0.03,0.05049,0.026207,0.326632,0.481692,0.483873,0.287311,1.41992
253,0.51,0.097452,0.02442,0.388602,0.272059,0.475091,0.278315,2.02487
254,0.22,0.15355,0.024684,0.151811,0.910472,0.43775,0.279721,1.87293
255,0.02,0.116112,0.024414,0.172094,1.40062,0.43629,0.279293,1.04814
256,0.05,0.128885,0.024109,0.326634,0.271019,0.506724,0.284772,0.634748
257,0.02,0.065335,0.024411,0.1586,0.272722,0.653788,0.28557,1.17789
258,0.06,0.076815,0.024153,0.276703,0.323711,0.46577,0.281185,0.988813
259,0.26,0.108172,0.024743,0.165114,0.272366,0.346968,0.281908,2.03623
260,0.01,0.027739,0.024449,0.08043,0.276341,0.273813,0.28919,0.808805
261,0.16,0.282871,0.0245,0.161609,0.274225,0.303728,0.280571,1.30423
262,0.17,0.209629,0.024463,0.497688,0.276637,0.317384,0.287884,0.887907
263,0.22,0.187219,0.024421,0.507569,0.276666,0.404671,0.287261,1.41018
264,0.09,0.040976,0.024677,0.211099,0.275837,0.316642,0.29098,0.910173
265,0.23,0.383073,0.024202,0.664038,0.278149,0.617561,0.283787,0.851455
266,0.22,0.047196,0.024397,0.651428,1.07645,1.38635,0.28882,2.25912
267,0.08,0.376403,0.024308,0.507408,0.279306,0.29929,0.286359,0.64242
268,0.06,0.097452,0.024568,0.191916,0.282237,0.772418,0.286262,1.59752
269,0.24,0.251157,0.025126,0.9619,0.28026,0.468287,0.285411,1.52313
270,0.08,0.106927,0.024165,0.544671,0.279933,0.491208,0.291154,0.863044
271,0.03,0.048726,0.024758,0.226104,0.281891,0.275217,0.287366,0.988347
272,0.74,0.636034,0.023972,4.32521,0.278514,1.09313,0.287414,6.22761
273,0.24,0.141356,0.024357,0.836813,0.282763,0.634851,0.294546,0.767192
274,0.28,0.134735,0.025136,0.815651,0.283702,0.709444,0.291512,1.78924
275,0.02,0.044733,0.024539,0.678049,0.285718,0.333126,0.291295,1.03125
276,0.0,0.02568,0.024116,0.437855,0.28809,0.40639,0.291135,1.89619
277,0.09,0.15953,0.024881,0.138165,0.284883,1.13839,0.294254,1.59881
278,0.15,0.714063,0.024167,2.23407,0.286232,1.32119,0.298067,1.89809
279,0.89,0.201747,0.024377,0.362916,0.28562,0.90038,0.292998,1.86694
280,0.03,0.050661,0.024582,0.366587,0.287901,0.292241,0.296911,0.699669
281,0.21,0.04108,0.024244,0.143151,0.283648,0.373037,0.297277,0.95497
282,0.52,0.170771,0.024032,0.371459,0.289258,0.51061,0.300042,1.04319
283,0.03,0.041469,0.024161,0.265568,0.316419,0.291734,0.304945,1.53242
284,0.01,0.027259,0.024708,0.236724,0.289076,0.317252,0.299243,0.644626
285,0.17,0.250044,0.024509,0.856881,0.293484,0.67265,0.296846,1.18159
286,0.25,0.264812,0.024296,0.546235,0.290304,0.318827,0.297697,1.02225
287,0.16,0.061462,0.024038,0.456889,0.291319,0.284484,0.299959,0.680319
288,0.88,1.657293,0.024154,1.08426,0.294048,0.858255,0.301875,1.53809
289,0.1,0.117663,0.024486,0.065588,0.292802,0.447574,0.301827,1.23961
290,0.24,0.226801,0.024028,1.61313,0.452011,0.565147,0.301613,1.67779
291,0.57,0.458145,0.023988,3.90051,1.41462,1.5893,0.301481,2.19642
292,0.48,0.08845,0.02434,1.05503,0.585352,0.350735,0.300484,1.63803
293,0.04,0.06267,0.024953,0.277782,0.338717,0.329949,0.301917,0.612007
294,0.59,0.095146,0.02433,0.115081,0.29885,1.0544,0.300613,1.09802
295,0.0,0.025901,0.024189,0.227419,0.297085,0.303836,0.301469,1.03914
296,0.02,0.163163,0.024424,0.171442,0.29946,0.329344,0.307641,0.943603
297,0.28,0.271894,0.024621,0.758577,0.298668,0.955188,0.30266,1.68202
298,0.06,0.071028,0.023749,0.377391,0.298829,0.381395,0.302891,0.985754
299,0.01,0.0403,0.024,0.19097,0.342797,0.293617,0.304591,0.760127
300,0.26,0.18143,0.024644,0.957192,0.768097,0.738069,0.307485,1.07918
