instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
48,0.8419999999999987,0.573516,1.054764,0.36768,0.325383,0.347576
49,0.8360000000000056,0.574677,1.050167,0.371134,0.322578,0.355879
50,0.8459999999999965,0.579539,1.046385,0.384514,0.325287,0.353363
51,0.8490000000000038,0.59016,1.051322,0.387939,0.326195,0.354433
52,0.847999999999999,0.577437,1.058781,0.390971,0.331117,0.353332
53,0.8449999999999989,0.573765,1.051992,0.387988,0.327202,0.355187
54,0.8410000000000011,0.573655,1.0539,0.394666,0.328757,0.356474
55,0.8360000000000056,0.573732,1.053584,0.378291,0.331377,0.364994
56,0.8369999999999962,0.581643,1.055563,0.387683,0.331439,0.359575
57,0.8470000000000013,0.572162,1.053548,0.380026,0.332965,0.361429
58,0.847999999999999,0.573079,1.053732,0.38291,0.330803,0.371696
59,0.855000000000004,0.581038,1.054575,0.391365,0.328709,0.364892
60,0.8470000000000013,0.580456,1.05103,0.3947,0.333173,0.365016
61,0.838000000000001,0.571143,1.055356,0.38671,0.336551,0.375418
62,0.8410000000000011,0.570152,1.055177,0.389413,0.335209,0.368548
63,0.8510000000000062,0.578192,1.06157,0.389528,0.335804,0.368276
64,0.8369999999999962,0.574219,1.064691,0.404167,0.35331,0.376403
65,0.838000000000001,0.577333,1.054789,0.406067,0.365727,0.386682
66,0.8629999999999995,0.576127,1.05385,0.414202,0.363225,0.378043
67,0.8500000000000014,0.57141,1.05741,0.406237,0.365019,0.386601
68,0.8580000000000041,0.577484,1.054555,0.409535,0.36601,0.380263
69,0.8499999999999943,0.572784,1.05747,0.40422,0.366658,0.386836
70,0.8509999999999991,0.57771,1.056692,0.401568,0.368269,0.384314
71,0.8470000000000013,0.573583,1.061061,0.412833,0.368346,0.385056
72,0.8459999999999965,0.578865,1.061921,0.407553,0.369242,0.385934
73,0.8449999999999989,0.576043,1.056776,0.413614,0.370728,0.386392
74,0.8440000000000012,0.578606,1.059452,0.406674,0.371628,0.398296
75,0.8629999999999995,0.571607,1.064787,0.413047,0.372818,0.390215
76,0.865000000000002,0.577042,1.071669,0.414557,0.349392,0.392061
77,0.8459999999999965,0.585728,1.059088,0.437867,0.351168,0.393582
78,0.857999999999997,0.580524,1.065507,0.423819,0.379022,0.403364
79,0.8439999999999941,0.571383,1.068833,0.411245,0.377091,0.395891
80,0.8519999999999968,0.576458,1.074256,0.41898,0.376634,0.396881
81,0.8639999999999972,0.574834,1.06044,0.415968,0.377796,0.395683
82,0.8509999999999991,0.572833,1.061571,0.421638,0.378759,0.400152
83,0.8519999999999968,0.57888,1.062952,0.422351,0.38073,0.407337
84,0.8480000000000061,0.572714,1.063011,0.447936,0.358422,0.399266
85,0.8569999999999993,0.57604,1.057923,0.446244,0.383415,0.402801
86,0.8430000000000035,0.570193,1.06461,0.451688,0.382947,0.405063
87,0.8569999999999993,0.572686,1.062834,0.426311,0.383737,0.405804
88,0.8539999999999992,0.573109,1.057619,0.426526,0.385876,0.404859
89,0.8560000000000016,0.575594,1.063097,0.425759,0.388371,0.406172
90,0.8709999999999951,0.573642,1.061361,0.427757,0.387045,0.410162
91,0.8560000000000016,0.57348,1.058873,0.432874,0.364986,0.418135
92,0.8610000000000042,0.574368,1.068358,0.427873,0.391392,0.412457
93,0.8459999999999965,0.568751,1.057136,0.432431,0.390781,0.413179
94,0.8590000000000018,0.576021,1.068224,0.438115,0.391997,0.427124
95,0.8599999999999994,0.57595,1.062536,0.444411,0.394517,0.414502
96,0.8560000000000016,0.582086,1.059772,0.458311,0.371259,0.417019
97,0.8570000000000064,0.571734,1.063337,0.458351,0.395182,0.418714
98,0.8560000000000016,0.5734,1.064622,0.461747,0.394628,0.418052
99,0.8769999999999953,0.570941,1.065283,0.473737,0.412813,0.441496
